name,citymeetings_url,start_time_in_seconds,end_time_in_seconds,for_or_against,borough,neighborhood,stated_affiliations,key_points
Christopher Marte,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/council-member-christopher-marte-on-concerns-with,7847.6475,8099.0693,Against,Manhattan,Lower Manhattan,[NYC City Council],"[The proposal is too large and complex for the public to fully understand in the given time frame, Lack of transparency and clear communication about the proposed changes, The plan will not create affordable housing, Conversion of office buildings to residential will not be affordable, Loss of public buildings to luxury condos, Micro apartments will force families to look elsewhere, Reduction in yard space, air, and light, Rents will continue to rise, The plan benefits those who profit from New York, not New Yorkers, Need for mandated affordability instead of trickle-down approach, Calls for strengthening the MIH program and requiring 100% affordability on public land, Opposes changes to apartment sizes and open space regulations]"
Meta Brunzema,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/meta-brunzema-from-the-collective-for-community,8432.573,8624.033,Against,Unknown,Unknown,"[Collective for Community, Culture, and Environment, LLC]","[Appreciates the goal of affordable housing but cannot endorse current proposals without modifications, Zoning changes are too numerous to be adequately reviewed as a whole, Lack of affordability requirements in the proposal, Increased supply is needed for low-income housing, not luxury housing, Universal affordability preference is unpredictable and voluntary, Proposal neglects local context beyond zoning density, Concerns about reduced rear and side yards, lot sizes, and FAR increases in low-density districts, Worries about loss of trees and permeability in medium to high-density districts, Elimination of public review for many zoning changes, Issues with campus development changes reducing open space and potentially causing displacement, Agrees with increased housing density in town centers and transit-oriented districts, but notes lack of affordability requirements, Concerns about allowing R5 density in R1 and R2 districts, Supports allowing accessory dwelling units but worried about increased lot coverage, Suggests that expanded transfer of air rights from landmark buildings should include affordable housing requirements, Adaptive reuse changes are potentially positive but lack affordability requirements, Reducing parking is commendable but must consider limitations of on-street parking and mass transit accessibility]"
Warren Schreiber,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/warren-schreiber-president-of-queens-civic,8652.478,8799.282,Against,Queens,Unknown,[Queens Civic Congress],"[New York City is not one-size-fits-all, Queens Civic Congress members prefer quiet communities with 1 and 2 family housing, Community boards have worked since 2005 to rezone and protect communities from overdevelopment, City of Yes is seen as a gift to developers that will undo previous rezoning efforts, The proposal threatens the American dream and generational wealth, The plan has nothing to do with affordable housing for those on the lowest economic rungs, Concerns about parking mandates, especially in transit deserts like Northeast Queens, Queens bus network redesign will result in reduced service, Queens Civic Congress opposes City of Yes in its entirety]"
Laura Spalter,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/laura-spalter-co-chair-of-broadway-community,8825.107,8988.745,Against,Bronx,North Riverdale,[Broadway Community Alliance],"[City Planning failed to conduct a full environmental review of the City of Yes for Housing Opportunity, The projected number of housing units is too low to trigger significant adverse impact assessments, The proposal will likely lead to luxury and fair market development rather than affordable housing, The plan does not adequately address climate change concerns, Increased density and construction will worsen sewage and flooding issues, The changes will increase impervious surfaces and exacerbate the urban heat island effect]"
Gabriel DeRurdy,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/gabriel-derurdy-on-supporting-the-city-of-yes-for,9148.045,9245.8,For,Manhattan,Hell's Kitchen,[],"[Personal experience with difficult rental market in NYC, Support for the universal affordability preference, Belief that the proposal will incrementally add housing without radically changing neighborhood scale, Affordability requirement benefits those most burdened by the housing crisis]"
Darrick Borowski,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/darrick-borowski-architect-and-member-of-the,9264.07,9427.902,For,Unknown,Unknown,[AIA],"[Current zoning code from 1961 has contributed to the housing crisis, Changing codes is necessary to create affordable housing for all incomes, Supports proposals in the plan such as bonuses for affordability, housing over retail, legalizing shared living, small apartments, ADUs, and eliminating parking requirements, Housing affordability is crucial for maintaining New York City's vitality and cultural diversity, Many New Yorkers, including young professionals and creatives, are struggling to afford housing, Acknowledges concerns about increased density but believes prioritizing housing creation is necessary, Urges commissioners to vote yes for City of Yes for Housing Opportunity]"
Eric Rosenbaum,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/eric-rosenbaum-president-and-ceo-of-project,9451.538,9616.748,For,Unknown,Unknown,[Project Renewal],"[Stable housing is the foundation for resilient families and communities, Lack of affordable housing contributes to mental health issues, overdose crises, and public safety problems, Historical housing discrimination has created profound inequity, especially for people of color, City of Yes proposals can address affordable housing availability and reduce homelessness, Increasing affordability will address root causes of mental health challenges, substance disorders, and criminal justice involvement, The alternative is increased spending on shelters, mental health treatment, and jails, City of Yes will make New York City more affordable and safer for families at all income levels]"
Austin Celestin,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/austin-celestin-urban-planning-graduate-student-at,9639.794,9764.733,For,Manhattan,Upper West Side,[NYU Wagner],"[Current housing situation is unaffordable for many, including the speaker and his family, Low vacancy rates, slow construction pace, high rents, and increasing homelessness are major issues, Current zoning plan has reduced buildable capacity by 80% and led to housing loss in some neighborhoods, The City of Yes proposal caters to different neighborhood needs and capacities, Proposal includes various strategies like transit-oriented development, commercial conversions, ADUs, and lifting parking mandates, The plan is modest but ambitious, covering about 20% of the housing need, Urges the City Planning Commission to approve the City of Yes proposal and consider doing even more]"
Carlo Casa,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/carlo-casa-director-of-policy-and-research-at-new,9796.855,9933.014,For,Unknown,Unknown,[New York Building Congress],"[The City of Yes for Housing Opportunity is a rational initiative addressing the housing crisis, The initiative incorporates community input from over 175 community board meetings, The policy has the potential to create over 100,000 new homes, Removes outdated parking mandates that increase housing production costs, Promotes transit-oriented development by legalizing 3 to 5 storey apartments near public transit, Encourages modest housing density in sensible locations citywide, Uses zoning as a tool rather than an obstacle to meet New Yorkers' needs]"
Carina Nieves,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/carina-nieves-on-opposition-to-city-of-yes-for,9960.136,10159.63,Against,Queens,Richmond Hill,[],"[Low density communities are being targeted for transit-oriented development, Residents chose these communities for light, air, space, and tranquility, The proposal may lead to harassment of property owners by developers, Lower density zones have helped keep rents lower for low and middle-income residents, Community Board 9 preserved lower density zoning in 2009 after a diligent rezoning process, Previous upzoning along Jamaica Avenue and Atlantic Avenue has not resulted in significant affordable housing development, New apartment buildings in the area are not affordable for the local community, The community is against the City of Yes proposal]"
Carol McCarthy,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/carol-mccarthy-from-douglaston-civic-association,10189.771,10315.26,Against,Queens,Douglaston,[Douglaston Civic Association],"[The plan is based on a false premise and will not provide affordable housing, Only special interests and developers will benefit from the plan, Lack of infrastructure to support the proposed changes, Negative impact on health care, education, sanitation, and public safety, Will destroy the nature of the community, Accessory units (basements, attics, garages, yards) pose safety risks, Threat of secession from New York City if the plan passes, The majority of civic associations have voted against the plan, Residents pay taxes and should have their voices heard]"
Henry Euler,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/henry-euler-president-of-auburndale-improvement,10345.422,10530.734,Against,Queens,Auburndale,[Auburndale Improvement Association],"[The proposal hasn't been completely vetted and more work is needed, Opposition to transit-oriented development, especially in low-density and single-family zoning areas, Concern about unfairness to homeowners who have invested in their properties, Against ADUs in basements, cellars, and garages due to safety concerns, Preference for expanding existing homes rather than creating ADUs, Criticism of the 'one size fits all' approach, Concern about deregulation in single-family and low-density zones, Lack of clarity on what 'a little more housing' means, Potential impacts on infrastructure and school enrollments not addressed]"
George Calderaro,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/george-calderaro-board-member-of-several-nyc-civic,10603.473,10771.756,Against,Unknown,Unknown,[Several New York City Civic Organizations],"[City of Yes is part of a multipronged offensive to deregulate development in NYC, The proposal does not prioritize or require affordable housing, There are many empty market rate and luxury units already, The initiative is a developer-driven plot to deregulate the city for private real estate development, City of Yes eliminates important regulations including special zoning districts, landmarks commission reviews, and open space requirements, Preservation of historic districts preserves thousands of businesses and affordable housing units, Demolition of viable, historically significant buildings should be stopped, Criticism of City of Yes should not be dismissed as NIMBY-ism, Concerns for communities are considered and sincere]"
Marjorie Velazquez,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/marjorie-velazquez-vice-president-of-technyc-on,10798.22,10944.785,For,Unknown,Unknown,"[Tech:NYC, Former NYC City Council Member]","[The housing crisis is making it difficult for the tech sector to attract and retain talent, Increasing housing supply, particularly affordable housing, will create a more inclusive city, City of Yes will make NYC more accessible to essential workers like teachers, nurses, firefighters, and sanitation workers, The proposal will foster innovation and economic growth by ensuring talented individuals can afford to live in NYC, Mixed-income housing creates more diverse and vibrant communities, The proposal is not one-size-fits-all and incorporates community input and context-sensitive planning, The status quo is not an option, and City of Yes is a bold step towards making NYC more affordable and accessible]"
Daniel Cohen,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/daniel-cohen-from-the-upper-west-side-on-support,10971.182,11061.569,For,Manhattan,Upper West Side,[],"[Supports City of Yes because it would make housing more affordable by alleviating the city's housing shortage, Strongly in favor of repealing parking mandates, which is environmentally friendly and economically progressive, Argues that mandatory parking increases rents for all, including those who don't own cars, Supports legalizing SROs (Single Room Occupancy) as an affordable housing option, Has personal experience living in an SRO when unable to afford a full apartment, Hopes City of Yes passes in its full form without any modifications]"
Sabrina Lippman,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/sabrina-lippman-ceo-of-habitat-for-humanity-new,11089.223,11247.16,For,Unknown,Unknown,[Habitat for Humanity New York City and Westchester County],"[Strong support for the City of Yes proposal, Importance of affordable housing and home ownership, New York City's low homeownership rate compared to national average, Support for accessory dwelling units and district fixes, Support for universal affordability preference, Support for missing middle housing through town center zoning and transit-oriented development, Proposal as a step towards building a more equitable and affordable New York]"
Michelle Kuppersmith,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/michelle-kuppersmith-resident-of-southern,11273.277,11448.828,For,Manhattan,Lower East Side,[Manhattan Community Board 3],"[Support for the entire City of Yes housing proposal, Refuting claims about affordable housing developments in her district, Personal family history of housing challenges in New York, Importance of affordable housing for keeping families in New York, Support for specific elements of the proposal (transit-oriented development, flexible parking requirements, housing standard changes), City of Yes is based on fair housing report addressing segregation, Criticism of 'neighborhood character' preservation as a racist and classist concept]"
Vanessa Gibson,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/vanessa-gibson-bronx-borough-president-on-city-of,11481.619,11990.578,For,Bronx,Unknown,"[New York City Government, Bronx Borough President]","[Supports most of the City of Yes for Housing Opportunity proposal with conditions, Emphasizes the need for affordable housing and homeownership opportunities, Supports creating more housing in every neighborhood across all 59 community boards, Advocates for maintaining neighborhood character and investing in existing communities, Supports legalizing ADUs but calls for increased inspections and community engagement, Supports infill development on NYCHA campuses with focus on housing for working-class families and seniors, Opposes decreasing the dwelling unit factor and increasing small and shared housing, Advocates for more 2 and 3 bedroom apartments for families, Opposes removal of parking mandates, especially in transit-poor areas of the Bronx, Commends efforts to streamline zoning regulations but emphasizes need for careful implementation]"
Rachel Fee,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/rachel-fee-from-new-york-housing-conference-on,12328.459,12509.818,For,Unknown,Unknown,"[New York Housing Conference, Yes to Housing Coalition]","[Strong support for City of Yes for Housing Opportunity, Need for zoning reforms to address New York City's affordable housing shortage, Inequitable housing development across city districts, Low vacancy rate (1.4%) and high rent burden for residents, Housing shortage driving people to neighboring states, Limited mobility for current residents due to housing crisis, Ineffective tools to fight homelessness due to tight housing market, Long stays in emergency shelters for families with children, Need for more housing to create a more affordable, fair, and inclusive city]"
John Sheridan,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/john-sheridan-resident-of-city-island-bronx-on,12854.792,13041.959,Against,Bronx,City Island,[],"[The proposal threatens zoning regulations for special purpose districts, including City Island, City Island's special purpose district was approved in 1977 and reaffirmed in 2003 and 2011, not outdated, Current City Island regulations protect low-rise character, environmental quality, and village character, The proposal ignores unique characteristics of diverse neighborhoods, The initiative represents 'a little more Manhattan in every neighborhood', Urges commission and City Council to vote against the proposal]"
Phyllis Inserillo,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/phyllis-inserillo-co-president-of-howard-beach,13071.69,13268.376,Against,Queens,Howard Beach,[Howard Beach Lindenwood Civic Association],"[Howard Beach community is overwhelmingly opposed to the City of Yes Housing Opportunity amendment, The community faces significant coastal flooding issues, which make increased development unsafe, Increasing FAR and adding ADUs will worsen flooding and strain infrastructure, The plan should be voted on piece by piece by community boards and City Council, not as a citywide change, Howard Beach says no to overcrowded classrooms, longer waits for infrastructure fixes, and housing units on top of stores, The community needs more police officers, EMS workers, firefighters, and better laws to protect families, Better infrastructure for sewers and utilities, and solutions to flooding issues are needed, Homeowners are burdened with high property taxes and mortgages, 12 out of 14 community boards in Queens have voted against this plan]"
Paul Graziano,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/paul-graziano-urban-planner-and-land-use,13312.898,13489.604,Against,Unknown,Unknown,[],"[The city's population is similar to 1960 levels, with recent population loss not accounted for in the plan, There are 800,000 more housing units now than in 1960, Current zoning can accommodate 16-20 million people if built to maximum potential, The proposed zoning could accommodate over 50 million people, The plan will devastate low, middle, and high-density communities, Single-family zoning will be eliminated, converting to two-family baseline, Potential for significant density increase in low-density areas, Claims the plan is not 'gentle density' but 'apocalyptic' for communities, Represents over 200 organizations opposing the City of Yes initiative]"
